genre,total_count,year,danceability,energy,instrumentalness,speechiness,tempo,valence
experimental,3686,2014,0.423926017362994,0.536523438415624,0.459336372612587,0.083314867064569,116.516179055887,0.34501627780792
experimental,5290,2015,0.457866691871446,0.398140666011341,0.588067084287337,0.0804784877126659,113.248992627595,0.319326427221165
experimental,3656,2016,0.455340016411379,0.441229670678336,0.487278844059082,0.0841033916849016,111.372877188184,0.358778801969366
experimental,2174,2017,0.451260027598897,0.522396415363385,0.385224464820607,0.0863020239190431,117.284671573137,0.371304921803127
experimental rock,1,1966,0.638,0.604,0.00896,0.0432,120.509,0.937
experimental rock,2,1967,0.504,0.6545,0.08439,0.057,134.388,0.707
experimental rock,11,1969,0.431272727272727,0.546545454545455,0.161628630909091,0.0709818181818182,129.043636363636,0.594636363636364
experimental rock,1,1970,0.67,0.344,0.602,0.0966,76.69,0.575
experimental rock,1,1971,0.218,0.863,0.0157,0.0775,96.22,0.717
experimental rock,1,1972,0.139,0.391,0.797,0.0694,77.497,0.07
experimental rock,1,1973,0.442,0.341,0.0,0.526,100.421,0.325
experimental rock,5,1974,0.2848,0.37586,0.24492,0.04232,112.7962,0.15112
experimental rock,1,1977,0.448,0.745,0.0,0.229,128.838,0.528
experimental rock,4,1978,0.478,0.515375,0.16142652,0.250375,115.45175,0.537
experimental rock,1,1979,0.507,0.912,0.00435,0.0591,121.787,0.764
experimental rock,5,1980,0.4462,0.8174,0.1737182,0.04126,132.6106,0.742
experimental rock,1,1981,0.252,0.85,0.0017,0.0721,200.12,0.743
experimental rock,1,1984,0.3,0.483,0.931,0.029,108.426,0.458
experimental rock,13,1988,0.598692307692308,0.349915384615385,0.07118897,0.598953846153846,118.404153846154,0.498576923076923
experimental rock,13,1989,0.451076923076923,0.743769230769231,0.302377615384615,0.0392538461538462,120.734153846154,0.616769230769231
experimental rock,2,1991,0.3565,0.6945,0.385535,0.0486,109.1275,0.2976
experimental rock,3,1992,0.463,0.718666666666667,0.540666666666667,0.0493666666666667,150.289666666667,0.208766666666667
experimental rock,3,1993,0.383666666666667,0.624,0.031999,0.1262,114.035666666667,0.552
experimental rock,14,1994,0.479214285714286,0.652428571428571,0.352028571428571,0.0401642857142857,130.707428571429,0.5365
experimental rock,8,1995,0.46875,0.80025,0.607265825,0.057075,124.617875,0.5195
experimental rock,1,1996,0.619,0.597,0.0132,0.0327,112.262,0.804
experimental rock,2,1997,0.41,0.4555,0.453000615,0.49855,97.2935,0.286
experimental rock,3,1998,0.336,0.705666666666667,0.245926666666667,0.1214,141.747333333333,0.232166666666667
experimental rock,1,1999,0.408,0.61,0.0102,0.0411,94.555,0.447
experimental rock,3,2000,0.341333333333333,0.557,0.703333333333333,0.0384333333333333,103.772666666667,0.223933333333333
experimental rock,4,2001,0.395,0.4725,0.635,0.135325,121.38325,0.30705
experimental rock,2,2002,0.506,0.4805,0.3342,0.324,128.244,0.462
experimental rock,3,2003,0.591333333333333,0.917666666666667,0.056334,0.0357333333333333,135.567333333333,0.699666666666667
experimental rock,14,2004,0.447785714285714,0.617,0.156750588571429,0.0532285714285714,132.350857142857,0.504071428571429
experimental rock,7,2005,0.384285714285714,0.785714285714286,0.310375858571429,0.170771428571429,126.973142857143,0.596
experimental rock,34,2006,0.469117647058824,0.833411764705882,0.0553378932352941,0.119491176470588,120.632382352941,0.680294117647059
experimental rock,17,2007,0.385764705882353,0.704823529411765,0.301099944705882,0.144711764705882,122.958882352941,0.284082352941176
experimental rock,11,2008,0.4882,0.712545454545455,0.347899809090909,0.0633636363636364,118.364090909091,0.562445454545454
experimental rock,26,2009,0.360357692307692,0.647076923076923,0.554254479615385,0.0833692307692308,121.830653846154,0.469284615384615
experimental rock,20,2010,0.34485,0.7837,0.4870344995,0.10015,124.06845,0.400375
experimental rock,36,2011,0.397927777777778,0.590227222222222,0.497663447222222,0.0673194444444444,124.056527777778,0.405544444444444
experimental rock,22,2012,0.433186363636364,0.672772727272727,0.457976536363636,0.0844818181818182,126.485727272727,0.396436363636363
experimental rock,26,2013,0.356307692307692,0.554230769230769,0.396543038461538,0.100015384615385,127.035038461538,0.261573076923077
experimental rock,23,2014,0.423695652173913,0.664869565217391,0.268068458695652,0.0785565217391304,126.698608695652,0.421182608695652
experimental rock,13,2015,0.475769230769231,0.623730769230769,0.170238407692308,0.114715384615385,105.041846153846,0.498838461538462
experimental rock,14,2016,0.335928571428571,0.7925,0.326061571428571,0.106142857142857,120.422714285714,0.453992857142857
experimental rock,85,2017,0.473458823529412,0.727270588235294,0.246747535882353,0.0672352941176471,124.107129411765,0.521377647058823
focus,22,1972,0.320613636363636,0.157246818181818,0.896272727272727,0.0529090909090909,117.206454545455,0.0781136363636364
focus,1,1973,0.231,0.445,0.912,0.0316,172.74,0.077
focus,2,1974,0.281,0.1375,0.4236,0.03305,98.9765,0.245
focus,12,1975,0.289091666666667,0.183285,0.6763115,0.0408,100.16025,0.25565
focus,6,1977,0.337,0.15243,0.495183333333333,0.0326333333333333,105.2525,0.08315
focus,9,1978,0.165466666666667,0.07673,0.864888888888889,0.0428555555555556,91.9126666666667,0.0481222222222222
focus,20,1980,0.1658,0.0277275,0.9054,0.041335,82.5745,0.068985
focus,5,1981,0.22534,0.013538,0.9146,0.06166,91.9382,0.07232
focus,13,1982,0.225153846153846,0.141487692307692,0.6993,0.0445153846153846,108.218692307692,0.112323076923077
focus,32,1983,0.27695625,0.1289625,0.8841875,0.043340625,91.53346875,0.1310375
focus,11,1984,0.304218181818182,0.1957,0.627990909090909,0.0437727272727273,113.104636363636,0.166827272727273
focus,2,1985,0.2074,0.03785,0.9105,0.03445,88.958,0.06685
focus,28,1986,0.234214285714286,0.111952857142857,0.782214939285714,0.0394214285714286,90.9801428571429,0.112607142857143
focus,36,1988,0.263622222222222,0.0926138888888889,0.796287794444444,0.0462694444444444,95.3804722222222,0.165158333333333
focus,7,1989,0.206,0.303285714285714,0.505985714285714,0.0457571428571429,104.821,0.0854428571428572
focus,14,1990,0.254,0.12245,0.880928571428571,0.03865,76.3071428571429,0.113107142857143
focus,47,1991,0.284246808510638,0.0830770212765957,0.847629787234043,0.0446978723404255,99.3124680851064,0.137606382978723
focus,44,1992,0.295884090909091,0.0926097727272727,0.799835636363636,0.0435727272727273,98.9821590909091,0.137165909090909
